date_id,date,day,month,month_name,quarter,year,financial_year,week_of_year,day_of_week,is_weekend,is_public_holiday,is_eofy_month,season
20210101,2021-01-01,1,1,January,Q1,2021,FY2020/21,53,Friday,N,Y,N,Summer
20210102,2021-01-02,2,1,January,Q1,2021,FY2020/21,53,Saturday,Y,N,N,Summer
20210103,2021-01-03,3,1,January,Q1,2021,FY2020/21,53,Sunday,Y,N,N,Summer
20210104,2021-01-04,4,1,January,Q1,2021,FY2020/21,1,Monday,N,N,N,Summer
20210105,2021-01-05,5,1,January,Q1,2021,FY2020/21,1,Tuesday,N,N,N,Summer
20210106,2021-01-06,6,1,January,Q1,2021,FY2020/21,1,Wednesday,N,N,N,Summer
20210107,2021-01-07,7,1,January,Q1,2021,FY2020/21,1,Thursday,N,N,N,Summer
20210108,2021-01-08,8,1,January,Q1,2021,FY2020/21,1,Friday,N,N,N,Summer
20210109,2021-01-09,9,1,January,Q1,2021,FY2020/21,1,Saturday,Y,N,N,Summer
20210110,2021-01-10,10,1,January,Q1,2021,FY2020/21,1,Sunday,Y,N,N,Summer
20210111,2021-01-11,11,1,January,Q1,2021,FY2020/21,2,Monday,N,N,N,Summer
20210112,2021-01-12,12,1,January,Q1,2021,FY2020/21,2,Tuesday,N,N,N,Summer
20210113,2021-01-13,13,1,January,Q1,2021,FY2020/21,2,Wednesday,N,N,N,Summer
20210114,2021-01-14,14,1,January,Q1,2021,FY2020/21,2,Thursday,N,N,N,Summer
20210115,2021-01-15,15,1,January,Q1,2021,FY2020/21,2,Friday,N,N,N,Summer
20210116,2021-01-16,16,1,January,Q1,2021,FY2020/21,2,Saturday,Y,N,N,Summer
20210117,2021-01-17,17,1,January,Q1,2021,FY2020/21,2,Sunday,Y,N,N,Summer
20210118,2021-01-18,18,1,January,Q1,2021,FY2020/21,3,Monday,N,N,N,Summer
20210119,2021-01-19,19,1,January,Q1,2021,FY2020/21,3,Tuesday,N,N,N,Summer
20210120,2021-01-20,20,1,January,Q1,2021,FY2020/21,3,Wednesday,N,N,N,Summer
20210121,2021-01-21,21,1,January,Q1,2021,FY2020/21,3,Thursday,N,N,N,Summer
20210122,2021-01-22,22,1,January,Q1,2021,FY2020/21,3,Friday,N,N,N,Summer
20210123,2021-01-23,23,1,January,Q1,2021,FY2020/21,3,Saturday,Y,N,N,Summer
20210124,2021-01-24,24,1,January,Q1,2021,FY2020/21,3,Sunday,Y,N,N,Summer
20210125,2021-01-25,25,1,January,Q1,2021,FY2020/21,4,Monday,N,N,N,Summer
20210126,2021-01-26,26,1,January,Q1,2021,FY2020/21,4,Tuesday,N,Y,N,Summer
20210127,2021-01-27,27,1,January,Q1,2021,FY2020/21,4,Wednesday,N,N,N,Summer
20210128,2021-01-28,28,1,January,Q1,2021,FY2020/21,4,Thursday,N,N,N,Summer
20210129,2021-01-29,29,1,January,Q1,2021,FY2020/21,4,Friday,N,N,N,Summer
20210130,2021-01-30,30,1,January,Q1,2021,FY2020/21,4,Saturday,Y,N,N,Summer
20210131,2021-01-31,31,1,January,Q1,2021,FY2020/21,4,Sunday,Y,N,N,Summer
20210201,2021-02-01,1,2,February,Q1,2021,FY2020/21,5,Monday,N,N,N,Summer
20210202,2021-02-02,2,2,February,Q1,2021,FY2020/21,5,Tuesday,N,N,N,Summer
20210203,2021-02-03,3,2,February,Q1,2021,FY2020/21,5,Wednesday,N,N,N,Summer
20210204,2021-02-04,4,2,February,Q1,2021,FY2020/21,5,Thursday,N,N,N,Summer
20210205,2021-02-05,5,2,February,Q1,2021,FY2020/21,5,Friday,N,N,N,Summer
20210206,2021-02-06,6,2,February,Q1,2021,FY2020/21,5,Saturday,Y,N,N,Summer
20210207,2021-02-07,7,2,February,Q1,2021,FY2020/21,5,Sunday,Y,N,N,Summer
20210208,2021-02-08,8,2,February,Q1,2021,FY2020/21,6,Monday,N,N,N,Summer
20210209,2021-02-09,9,2,February,Q1,2021,FY2020/21,6,Tuesday,N,N,N,Summer
20210210,2021-02-10,10,2,February,Q1,2021,FY2020/21,6,Wednesday,N,N,N,Summer
20210211,2021-02-11,11,2,February,Q1,2021,FY2020/21,6,Thursday,N,N,N,Summer
20210212,2021-02-12,12,2,February,Q1,2021,FY2020/21,6,Friday,N,N,N,Summer
20210213,2021-02-13,13,2,February,Q1,2021,FY2020/21,6,Saturday,Y,N,N,Summer
20210214,2021-02-14,14,2,February,Q1,2021,FY2020/21,6,Sunday,Y,N,N,Summer
20210215,2021-02-15,15,2,February,Q1,2021,FY2020/21,7,Monday,N,N,N,Summer
20210216,2021-02-16,16,2,February,Q1,2021,FY2020/21,7,Tuesday,N,N,N,Summer
20210217,2021-02-17,17,2,February,Q1,2021,FY2020/21,7,Wednesday,N,N,N,Summer
20210218,2021-02-18,18,2,February,Q1,2021,FY2020/21,7,Thursday,N,N,N,Summer
20210219,2021-02-19,19,2,February,Q1,2021,FY2020/21,7,Friday,N,N,N,Summer
20210220,2021-02-20,20,2,February,Q1,2021,FY2020/21,7,Saturday,Y,N,N,Summer
20210221,2021-02-21,21,2,February,Q1,2021,FY2020/21,7,Sunday,Y,N,N,Summer
20210222,2021-02-22,22,2,February,Q1,2021,FY2020/21,8,Monday,N,N,N,Summer
20210223,2021-02-23,23,2,February,Q1,2021,FY2020/21,8,Tuesday,N,N,N,Summer
20210224,2021-02-24,24,2,February,Q1,2021,FY2020/21,8,Wednesday,N,N,N,Summer
20210225,2021-02-25,25,2,February,Q1,2021,FY2020/21,8,Thursday,N,N,N,Summer
20210226,2021-02-26,26,2,February,Q1,2021,FY2020/21,8,Friday,N,N,N,Summer
20210227,2021-02-27,27,2,February,Q1,2021,FY2020/21,8,Saturday,Y,N,N,Summer
20210228,2021-02-28,28,2,February,Q1,2021,FY2020/21,8,Sunday,Y,N,N,Summer
20210301,2021-03-01,1,3,March,Q1,2021,FY2020/21,9,Monday,N,N,N,Autumn
20210302,2021-03-02,2,3,March,Q1,2021,FY2020/21,9,Tuesday,N,N,N,Autumn
20210303,2021-03-03,3,3,March,Q1,2021,FY2020/21,9,Wednesday,N,N,N,Autumn
20210304,2021-03-04,4,3,March,Q1,2021,FY2020/21,9,Thursday,N,N,N,Autumn
20210305,2021-03-05,5,3,March,Q1,2021,FY2020/21,9,Friday,N,N,N,Autumn
20210306,2021-03-06,6,3,March,Q1,2021,FY2020/21,9,Saturday,Y,N,N,Autumn
20210307,2021-03-07,7,3,March,Q1,2021,FY2020/21,9,Sunday,Y,N,N,Autumn
20210308,2021-03-08,8,3,March,Q1,2021,FY2020/21,10,Monday,N,N,N,Autumn
20210309,2021-03-09,9,3,March,Q1,2021,FY2020/21,10,Tuesday,N,N,N,Autumn
20210310,2021-03-10,10,3,March,Q1,2021,FY2020/21,10,Wednesday,N,N,N,Autumn
20210311,2021-03-11,11,3,March,Q1,2021,FY2020/21,10,Thursday,N,N,N,Autumn
20210312,2021-03-12,12,3,March,Q1,2021,FY2020/21,10,Friday,N,N,N,Autumn
20210313,2021-03-13,13,3,March,Q1,2021,FY2020/21,10,Saturday,Y,N,N,Autumn
20210314,2021-03-14,14,3,March,Q1,2021,FY2020/21,10,Sunday,Y,N,N,Autumn
20210315,2021-03-15,15,3,March,Q1,2021,FY2020/21,11,Monday,N,N,N,Autumn
20210316,2021-03-16,16,3,March,Q1,2021,FY2020/21,11,Tuesday,N,N,N,Autumn
20210317,2021-03-17,17,3,March,Q1,2021,FY2020/21,11,Wednesday,N,N,N,Autumn
20210318,2021-03-18,18,3,March,Q1,2021,FY2020/21,11,Thursday,N,N,N,Autumn
20210319,2021-03-19,19,3,March,Q1,2021,FY2020/21,11,Friday,N,N,N,Autumn
20210320,2021-03-20,20,3,March,Q1,2021,FY2020/21,11,Saturday,Y,N,N,Autumn
20210321,2021-03-21,21,3,March,Q1,2021,FY2020/21,11,Sunday,Y,N,N,Autumn
20210322,2021-03-22,22,3,March,Q1,2021,FY2020/21,12,Monday,N,N,N,Autumn
20210323,2021-03-23,23,3,March,Q1,2021,FY2020/21,12,Tuesday,N,N,N,Autumn
20210324,2021-03-24,24,3,March,Q1,2021,FY2020/21,12,Wednesday,N,N,N,Autumn
20210325,2021-03-25,25,3,March,Q1,2021,FY2020/21,12,Thursday,N,N,N,Autumn
20210326,2021-03-26,26,3,March,Q1,2021,FY2020/21,12,Friday,N,N,N,Autumn
20210327,2021-03-27,27,3,March,Q1,2021,FY2020/21,12,Saturday,Y,N,N,Autumn
20210328,2021-03-28,28,3,March,Q1,2021,FY2020/21,12,Sunday,Y,N,N,Autumn
20210329,2021-03-29,29,3,March,Q1,2021,FY2020/21,13,Monday,N,N,N,Autumn
20210330,2021-03-30,30,3,March,Q1,2021,FY2020/21,13,Tuesday,N,N,N,Autumn
20210331,2021-03-31,31,3,March,Q1,2021,FY2020/21,13,Wednesday,N,N,N,Autumn
20210401,2021-04-01,1,4,April,Q2,2021,FY2020/21,13,Thursday,N,N,N,Autumn
20210402,2021-04-02,2,4,April,Q2,2021,FY2020/21,13,Friday,N,Y,N,Autumn
20210403,2021-04-03,3,4,April,Q2,2021,FY2020/21,13,Saturday,Y,N,N,Autumn
20210404,2021-04-04,4,4,April,Q2,2021,FY2020/21,13,Sunday,Y,N,N,Autumn
20210405,2021-04-05,5,4,April,Q2,2021,FY2020/21,14,Monday,N,Y,N,Autumn
20210406,2021-04-06,6,4,April,Q2,2021,FY2020/21,14,Tuesday,N,N,N,Autumn
20210407,2021-04-07,7,4,April,Q2,2021,FY2020/21,14,Wednesday,N,N,N,Autumn
20210408,2021-04-08,8,4,April,Q2,2021,FY2020/21,14,Thursday,N,N,N,Autumn
20210409,2021-04-09,9,4,April,Q2,2021,FY2020/21,14,Friday,N,N,N,Autumn
20210410,2021-04-10,10,4,April,Q2,2021,FY2020/21,14,Saturday,Y,N,N,Autumn
